max_ma,min_ma,genus,lng,lat,lithology1,environment,THY0orTHE1
83.5,70.6,Gorgosaurus,-111.528732,50.740726,sandstone,channel,1
83.5,70.6,Gorgosaurus,-111.549347,50.737015,sandstone,channel,1
83.5,70.6,Gorgosaurus,-111.564636,50.723866,sandstone,channel lag,1
83.5,70.6,Gorgosaurus,-111.525337,50.740471,not reported,terrestrial,1
83.5,70.6,Gorgosaurus,-111.601021,50.786999,sandstone,channel lag,1
70.6,66.0,Albertosaurus,-112.981903,51.8046,sandstone,terrestrial,1
70.6,66.0,Albertosaurus,-112.981903,51.819099,not reported,terrestrial,1
70.6,66.0,Albertosaurus,-112.818901,51.542702,not reported,terrestrial,1
70.6,66.0,Albertosaurus,-112.8423,51.469898,sandstone,terrestrial,1
70.6,66.0,Albertosaurus,-112.702202,51.4408,not reported,terrestrial,1
83.5,70.6,Daspletosaurus,-110.681999,49.083698,not reported,terrestrial,1
83.5,70.6,Daspletosaurus,-111.485008,50.751526,sandstone,fine channel fill,1
70.6,66.0,Albertosaurus,-112.934799,51.928299,sandstone,terrestrial,1
70.6,66.0,Tyrannosaurus,-113.0289,51.906399,sandstone,channel,1
70.6,66.0,Tyrannosaurus,-113.23333,51.933334,sandstone,terrestrial,1
70.6,66.0,Ankylosaurus,-106.569901,47.637699,not reported,terrestrial,0
83.5,70.6,Bistahieversor,-107.966393,36.06028,not reported,terrestrial,1
157.3,145.0,Allosaurus,-106.041,41.893101,claystone,wet floodplain,1
157.3,145.0,Allosaurus,-106.389999,42.035831,not reported,terrestrial,1
199.3,182.7,Scutellosaurus,-111.027779,35.679169,siltstone,wet floodplain,0
199.3,182.7,Scutellosaurus,-111.073608,35.736668,sandstone,wet floodplain,0
20.43,15.97,Anhinga,-82.599998,29.700001,sandstone,terrestrial,1
20.43,15.97,Promilio,-82.599998,29.700001,sandstone,terrestrial,1
33.9,33.3,Buteo,-104.866669,40.900002,not reported,terrestrial,1
15.97,13.82,Hadrogyps,-118.5,35.299999,siltstone,shoreface,1
11.62,7.246,Miomancalla,-117.712219,33.561943,sandstone,basinal,1
89.3,70.6,Ichthyornis,-101.0,39.0,not reported,marine,1
89.3,70.6,Hesperornis,-101.0,39.0,not reported,marine,1
86.3,83.6,Alexornis,-115.73333,30.049999,not reported,terrestrial,1
199.3,182.7,Dilophosaurus,-110.32,36.145279,shale,terrestrial,1
199.3,182.7,Dilophosaurus,-110.300003,36.099998,shale,terrestrial,1
157.3,145.0,Allosaurus,-106.048615,42.017776,sandstone,coarse channel fill,1
155.7,145.0,Allosaurus,-108.199997,43.630001,siliciclastic,crevasse splay,1
83.6,72.1,Troodon,-113.75,48.633301,mudstone,lacustrine,1
83.6,72.1,Daspletosaurus,-113.75,48.633301,mudstone,lacustrine,1
152.1,145.0,Allosaurus,-109.205833,40.423611,mudstone,crevasse splay,1
152.1,145.0,Stegosaurus,-109.205833,40.423611,mudstone,crevasse splay,0
150.8,145.0,Stegosaurus,-109.300552,40.441387,sandstone,coarse channel fill,0
13.6,10.3,Balearica,-98.0,42.299999,not reported,terrestrial,1
3.6,2.588,Phalacrocorax,-82.514702,27.336,mixed carbonate-siliciclastic,lagoonal,1
70.6,66.0,Potamornis,-104.637001,43.116329,sandstone,terrestrial,1
83.5,70.6,Dryptosaurus,-74.300003,40.299999,sandstone,estuary,1
83.5,70.6,Saurornitholestes,-107.199997,35.700001,mudstone,fluvial,1
125.0,113.0,Acrocanthosaurus,-94.826385,33.895557,not reported,terrestrial,1
125.0,113.0,Acrocanthosaurus,-95.806389,34.18,sandstone,terrestrial,1
125.0,113.0,Acrocanthosaurus,-95.792221,34.18,shale,terrestrial,1
190.8,174.1,Segisaurus,-110.525002,36.780556,sandstone,dune,0
83.5,70.6,Saurornitholestes,-112.966667,48.650002,claystone,floodplain,1
83.5,70.6,Troodon,-112.966667,48.650002,claystone,floodplain,1
83.5,70.6,Panoplosaurus,-109.129166,45.823334,shale,marine,0
83.6,72.1,Troodon,-112.182777,47.8125,carbonate,terrestrial,1
70.6,61.7,Telmatornis,-75.166664,39.783333,sandstone,shallow subtidal,1
70.6,61.7,Palaeotringa,-75.166664,39.783333,sandstone,shallow subtidal,1
70.6,61.7,Graculavus,-75.166664,39.783333,sandstone,shallow subtidal,1
70.6,61.7,Tytthostonyx,-75.166664,39.783333,sandstone,shallow subtidal,1
215.56,212.0,Grallator,-22.552778,71.414719,claystone,lacustrine,1
139.8,132.9,Utahraptor,-109.567902,38.826099,siltstone,pond,1
139.8,132.9,Gastonia,-109.567902,38.826099,siltstone,pond,0
139.8,132.9,Utahraptor,-109.691666,38.718056,mudstone,crevasse splay,1
125.0,100.5,Animantarx,-110.857689,39.155956,mudstone,terrestrial,0
99.6,93.5,Stegopelta,-108.023613,42.832222,shale,estuary,0
99.6,93.5,Magnoavipes,-97.092072,32.995209,sandstone,floodplain,1
99.6,93.5,Fuscinapedis,-97.092072,32.995209,sandstone,floodplain,1
155.7,145.0,Stegosaurus,-105.192596,39.675598,sandstone,channel,0
122.46,112.03,Coelurus,-76.8694,39.030499,claystone,lacustrine,1
99.6,93.5,Nodosaurus,-105.924446,42.893055,not reported,marginal marine,0
10.3,4.9,Anhinga,-82.599998,29.65,not reported,terrestrial,1
10.3,4.9,Anhinga,-82.566666,29.683332,limestone,fluvial,1
13.6,10.3,Nettion,-99.769798,39.0821,siltstone,floodplain,1
83.5,70.6,Baptornis,-110.470001,49.119999,mudstone,estuary,1
83.5,70.6,Saurornitholestes,-110.470001,49.119999,mudstone,estuary,1
83.5,70.6,Saurornitholestes,-110.470001,49.119999,mudstone,estuary,1
83.5,70.6,Troodon,-110.470001,49.119999,mudstone,estuary,1
83.5,70.6,Saurornitholestes,-110.470001,49.119999,sandstone,estuary,1
83.5,70.6,Troodon,-110.470001,49.119999,sandstone,estuary,1
83.5,70.6,Baptornis,-110.470001,49.119999,mudstone,estuary,1
83.5,70.6,Baptornis,-110.470001,49.119999,mudstone,estuary,1
83.5,70.6,Baptornis,-110.470001,49.119999,mudstone,estuary,1
83.5,70.6,Saurornitholestes,-110.470001,49.119999,mudstone,estuary,1
83.5,70.6,Richardoestesia,-110.470001,49.119999,mudstone,estuary,1
201.3,190.8,Coelophysis,-72.574997,42.255554,sandstone,terrestrial,1
105.3,99.6,Silvisaurus,-97.454498,39.198002,sandstone,floodplain,0
83.5,70.6,Latenivenatrix,-111.327057,50.809383,claystone,terrestrial,1
125.0,109.0,Deinonychus,-108.162003,45.438999,not reported,terrestrial,1
89.3,85.8,Ichthyornis,-96.355003,33.536999,chalk,open shallow subtidal,1
83.5,70.6,Ichthyornis,-96.087997,33.469002,limestone,marine,1
83.5,70.6,Albertosaurus,-108.226997,36.285702,sandstone,channel lag,1
199.3,182.7,Syntarsus,-111.014168,35.694168,sandstone,terrestrial,1
199.3,182.7,Syntarsus,-111.014168,35.694168,sandstone,terrestrial,1
199.3,182.7,Syntarsus,-111.027779,35.679169,not reported,terrestrial,1
85.8,70.6,Albertosaurus,-85.026665,32.164165,claystone,transition zone,1
83.5,70.6,Hesperornis,-105.080002,53.25,not reported,marginal marine,1
83.6,72.1,Saurornitholestes,-112.182777,47.8125,claystone,pond,1
83.6,72.1,Daspletosaurus,-112.182777,47.8125,claystone,pond,1
83.6,72.1,Hesperornis,-98.477203,49.476501,shale,marine,1
83.6,72.1,Gettyia,-113.75,48.633301,mudstone,lacustrine,1
83.6,72.1,Richardoestesia,-113.75,48.633301,mudstone,lacustrine,1
83.6,72.1,Saurornitholestes,-113.75,48.633301,mudstone,lacustrine,1
83.5,70.6,Dromaeosaurus,-111.484657,50.750553,sandstone,channel lag,1
83.5,70.6,Saurornitholestes,-111.484657,50.750553,sandstone,channel lag,1
83.5,70.6,Troodon,-111.484657,50.750553,sandstone,channel lag,1
0.126,0.0117,Anas,-84.800003,34.200001,claystone,fissure fill,1
0.126,0.0117,Falcipennis,-84.800003,34.200001,claystone,fissure fill,1
0.126,0.0117,Meleagris,-84.800003,34.200001,claystone,fissure fill,1
0.126,0.0117,Ectopistes,-84.800003,34.200001,claystone,fissure fill,1
72.1,66.0,Tyrannosaurus,-107.083,47.536201,claystone,terrestrial,1
157.3,152.1,Allosaurus,-106.940559,35.320278,not reported,terrestrial,1
164.7,157.3,Megalosauripus,-103.714203,36.464458,sandstone,terrestrial,1
152.1,145.0,Allosaurus,-107.400002,38.450001,sandstone,crevasse splay,1
157.3,152.1,Allosaurus,-106.138054,41.980556,sandstone,channel,1
208.5,199.3,Grallator,-111.112221,35.863056,sandstone,eolian,1
208.5,199.3,Grallator,-111.112221,35.863056,sandstone,eolian,1
125.0,113.0,Aquatilavipes,-122.182503,55.968613,siltstone,terrestrial,1
228.0,208.5,Camposaurus,-109.462486,34.43742,mudstone,wet floodplain,1
157.3,145.0,Stegosaurus,-105.963402,41.9077,sandstone,crevasse splay,0
157.3,145.0,Stegosaurus,-105.963402,41.9077,sandstone,crevasse splay,0
157.3,145.0,Stegosaurus,-105.963402,41.9077,sandstone,crevasse splay,0
157.3,145.0,Stegosaurus,-105.963402,41.9077,sandstone,crevasse splay,0
157.3,145.0,Coelurus,-105.963402,41.9077,sandstone,crevasse splay,1
155.7,145.0,Ceratosaurus,-105.224701,38.539501,sandstone,channel,1
155.7,145.0,Allosaurus,-105.224701,38.539501,sandstone,channel,1
157.3,145.0,Allosaurus,-106.079803,41.878601,sandstone,channel,1
157.3,145.0,Allosaurus,-106.079803,41.878601,sandstone,channel,1
157.3,145.0,Allosaurus,-106.079803,41.893101,mudstone,wet floodplain,1
157.3,145.0,Allosaurus,-106.021599,41.893101,mudstone,wet floodplain,1
157.3,145.0,Allosaurus,-105.982803,41.9077,claystone,wet floodplain,1
157.3,145.0,Stegosaurus,-105.982803,41.9077,claystone,wet floodplain,0
152.1,145.0,Allosaurus,-106.021599,41.893101,claystone,pond,1
152.1,145.0,Coelurus,-106.021599,41.893101,claystone,pond,1
152.1,145.0,Stegosaurus,-106.021599,41.893101,claystone,pond,0
157.3,145.0,Coelurus,-106.00222,41.893055,mudstone,fluvial-lacustrine,1
157.3,145.0,Allosaurus,-106.00222,41.893055,mudstone,fluvial-lacustrine,1
157.3,145.0,Stegosaurus,-106.002197,41.893101,mudstone,wet floodplain,0
157.3,145.0,Allosaurus,-106.1073,41.8825,claystone,wet floodplain,1
157.3,145.0,Coelurus,-106.1073,41.8825,claystone,wet floodplain,1
157.3,145.0,Stegosaurus,-106.1073,41.8825,claystone,wet floodplain,0
157.3,145.0,Allosaurus,-106.002197,41.893101,siltstone,wet floodplain,1
157.3,145.0,Allosaurus,-105.963402,41.9077,not reported,terrestrial,1
157.3,145.0,Allosaurus,-105.963402,41.9077,not reported,terrestrial,1
157.3,145.0,Allosaurus,-105.187332,39.653423,mudstone,channel,1
155.7,145.0,Allosaurus,-105.192596,39.675598,sandstone,channel,1
157.3,145.0,Allosaurus,-105.224701,38.539501,sandstone,channel,1
157.3,145.0,Mymoorapelta,-108.995796,39.2383,mudstone,pond,0
157.3,145.0,Allosaurus,-108.995796,39.2383,mudstone,pond,1
157.3,145.0,Ceratosaurus,-108.995796,39.2383,mudstone,pond,1
70.6,66.0,Tyrannosaurus,-103.9617,45.948799,sandstone,channel,1
70.6,66.0,Saurornitholestes,-103.9617,45.948799,sandstone,channel,1
70.6,66.0,Paronychodon,-103.9617,45.948799,sandstone,channel,1
70.6,66.0,Richardoestesia,-103.9617,45.948799,sandstone,channel,1
70.6,66.0,Troodon,-103.9617,45.948799,sandstone,channel,1
70.6,66.0,Tyrannosaurus,-103.9617,45.948799,sandstone,channel,1
70.6,66.0,Saurornitholestes,-103.9617,45.948799,sandstone,channel,1
70.6,66.0,Paronychodon,-103.9617,45.948799,sandstone,channel,1
70.6,66.0,Richardoestesia,-103.9617,45.948799,sandstone,channel,1
70.6,66.0,Avisaurus,-103.300003,46.099998,sandstone,crevasse splay,1
70.6,66.0,Troodon,-103.300003,46.099998,sandstone,crevasse splay,1
70.6,66.0,Tyrannosaurus,-103.300003,46.099998,sandstone,crevasse splay,1
70.6,66.0,Saurornitholestes,-103.300003,46.099998,sandstone,crevasse splay,1
70.6,66.0,Paronychodon,-103.300003,46.099998,sandstone,crevasse splay,1
70.6,66.0,Richardoestesia,-103.300003,46.099998,sandstone,crevasse splay,1
70.6,66.0,Tyrannosaurus,-103.753899,45.977699,sandstone,crevasse splay,1
70.6,66.0,Saurornitholestes,-103.753899,45.977699,sandstone,crevasse splay,1
70.6,66.0,Paronychodon,-103.753899,45.977699,sandstone,crevasse splay,1
70.6,66.0,Richardoestesia,-103.753899,45.977699,sandstone,crevasse splay,1
70.6,66.0,Tyrannosaurus,-103.766899,46.026402,shale,floodplain,1
