max_ma,min_ma,genus,lng,lat,lithology1,environment,Orn0Saur1
155.7,132.9,Chaoyangsaurus,123.966698,42.9333,mudstone,fluvial,0
83.5,70.6,,-111.461914,50.753296,not reported,terrestrial,0
83.5,70.6,Centrosaurus,-111.528931,50.737297,not reported,terrestrial,0
83.5,70.6,Gryposaurus,-111.529999,50.77,not reported,terrestrial,0
70.6,66.0,Ankylosaurus,-106.569901,47.637699,not reported,terrestrial,0
72.1,66.0,Pachycephalosaurus,-106.227776,47.695831,sandstone,channel,0
72.1,66.0,,-106.227776,47.695831,sandstone,channel,0
157.3,145.0,Stegosaurus,-106.389999,42.035831,not reported,terrestrial,0
70.6,66.0,,0.948611,43.142776,grainstone,shallow subtidal,0
130.0,122.46,,-1.381643,50.62413,mudstone,coastal,0
130.0,122.46,Hypsilophodon,-1.468,50.654499,not reported,fluvial-lacustrine,0
199.3,182.7,Scutellosaurus,-111.027779,35.679169,siltstone,wet floodplain,0
199.3,182.7,Scutellosaurus,-111.073608,35.736668,sandstone,wet floodplain,0
83.6,72.1,Orodromeus,-112.182777,47.8125,carbonate,terrestrial,0
83.6,72.1,Maiasaura,-112.182777,47.8125,mudstone,floodplain,0
86.3,66.0,Goyocephale,102.066666,48.583332,sandstone,terrestrial,0
83.5,70.6,Tethyshadros,13.588611,45.77861,limestone,lagoonal,0
70.6,66.0,Telmatosaurus,22.845142,45.603615,claystone,dry floodplain,0
145.0,139.8,Owenodon,22.4,46.950001,conglomerate,karst,0
145.0,139.8,,22.4,46.950001,conglomerate,karst,0
145.0,139.8,Valdosaurus,22.4,46.950001,conglomerate,karst,0
145.0,139.8,,22.4,46.950001,conglomerate,karst,0
83.5,70.6,Styracosaurus,-111.565781,50.742214,sandstone,channel,0
83.6,72.1,Centrosaurus,-111.800003,50.73,not reported,terrestrial,0
100.5,83.6,Spheroolithus,101.331947,43.938889,sandstone,terrestrial,0
72.1,66.0,,36.033333,32.016666,phosphorite,shallow subtidal,0
100.5,83.6,Graciliceratops,101.331947,43.938889,not reported,terrestrial,0
100.5,83.6,,101.331947,43.938889,not reported,terrestrial,0
100.5,83.6,,101.331947,43.938889,not reported,terrestrial,0
83.5,70.6,,101.125,43.487499,sandstone,eolian,0
83.5,70.6,Bagaceratops,99.75,43.25,sandstone,eolian,0
99.6,93.5,Eolambia,-111.0,39.0,not reported,terrestrial,0
