max_ma,min_ma,genus,lng,lat,lithology1,environment,time_bins,Orn0Saur1
83.5,70.6,Centrosaurus,-111.528931,50.737297,not reported,terrestrial,Campanian,0
83.5,70.6,Gryposaurus,-111.529999,50.77,not reported,terrestrial,Campanian,0
70.6,66.0,Ankylosaurus,-106.569901,47.637699,not reported,terrestrial,Maastrichtian,0
72.1,66.0,Pachycephalosaurus,-106.227776,47.695831,sandstone,channel,Maastrichtian,0
157.3,145.0,Stegosaurus,-106.389999,42.035831,not reported,terrestrial,Tithonian,0
130.0,122.46,Hypsilophodon,-1.468,50.654499,not reported,fluvial-lacustrine,Barremian,0
199.3,182.7,Scutellosaurus,-111.027779,35.679169,siltstone,wet floodplain,Sinemurian,0
199.3,182.7,Scutellosaurus,-111.073608,35.736668,sandstone,wet floodplain,Sinemurian,0
83.6,72.1,Orodromeus,-112.182777,47.8125,carbonate,terrestrial,Campanian,0
83.6,72.1,Maiasaura,-112.182777,47.8125,mudstone,floodplain,Campanian,0
86.3,66.0,Goyocephale,102.066666,48.583332,sandstone,terrestrial,Campanian,0
83.5,70.6,Tethyshadros,13.588611,45.77861,limestone,lagoonal,Campanian,0
70.6,66.0,Telmatosaurus,22.845142,45.603615,claystone,dry floodplain,Maastrichtian,0
145.0,139.8,Owenodon,22.4,46.950001,conglomerate,karst,Berriasian,0
145.0,139.8,Valdosaurus,22.4,46.950001,conglomerate,karst,Berriasian,0
83.5,70.6,Styracosaurus,-111.565781,50.742214,sandstone,channel,Campanian,0
83.6,72.1,Centrosaurus,-111.800003,50.73,not reported,terrestrial,Campanian,0
83.5,70.6,Bagaceratops,99.75,43.25,sandstone,eolian,Campanian,0
99.6,93.5,Eolambia,-111.0,39.0,not reported,terrestrial,Cenomanian,0
129.4,122.46,Iguanodon,3.633333,50.466667,claystone,lacustrine,Barremian,0
157.3,145.0,Stegosaurus,-106.048615,42.017776,sandstone,coarse channel fill,Tithonian,0
83.6,72.1,Prosaurolophus,-113.75,48.630001,mudstone,crevasse splay,Campanian,0
83.6,72.1,Maiasaura,-113.75,48.633301,conglomerate,floodplain,Campanian,0
83.6,72.1,Orodromeus,-113.75,48.633301,conglomerate,floodplain,Campanian,0
83.5,70.6,Nodosaurus,-111.525871,50.728848,not reported,channel,Campanian,0
83.5,70.6,Chasmosaurus,-111.513893,50.734207,sandstone,channel,Campanian,0
83.5,70.6,Centrosaurus,-111.524582,50.727234,sandstone,channel lag,Campanian,0
83.5,70.6,Chasmosaurus,-111.484657,50.750553,sandstone,channel lag,Campanian,0
155.7,145.0,Stegosaurus,-108.199997,43.630001,siliciclastic,crevasse splay,Tithonian,0
155.7,145.0,Camptosaurus,-108.199997,43.630001,siliciclastic,crevasse splay,Tithonian,0
83.5,70.6,Protoceratops,103.333336,44.25,sandstone,dune,Campanian,0
129.4,125.0,Hypsilophodon,1.25,50.07,sandstone,lagoonal,Barremian,0
83.6,72.1,Prosaurolophus,-113.75,48.633301,mudstone,lacustrine,Campanian,0
83.6,72.1,Hypacrosaurus,-113.75,48.633301,mudstone,lacustrine,Campanian,0
83.6,72.1,Gryposaurus,-113.75,48.633301,mudstone,lacustrine,Campanian,0
83.6,72.1,Maiasaura,-112.701118,48.479202,mudstone,fluvial,Campanian,0
83.5,70.6,Pachyrhinosaurus,-119.108101,55.0639,siltstone,crevasse splay,Campanian,0
152.1,145.0,Stegosaurus,-109.205833,40.423611,mudstone,crevasse splay,Tithonian,0
152.1,145.0,Dryosaurus,-109.205833,40.423611,mudstone,crevasse splay,Tithonian,0
152.1,145.0,Camptosaurus,-109.205833,40.423611,mudstone,crevasse splay,Tithonian,0
122.46,112.03,Convolosaurus,-98.476303,31.9722,claystone,floodplain,Aptian,0
130.0,122.46,Iguanodon,8.632222,51.434166,claystone,sinkhole,Barremian,0
130.0,122.46,Mantellisaurus,8.632222,51.434166,claystone,sinkhole,Barremian,0
130.0,122.46,Iguanodon,8.632222,51.434166,claystone,sinkhole,Barremian,0
83.5,70.6,Styracosaurus,-111.494217,50.736092,sandstone,channel lag,Campanian,0
83.5,70.6,Centrosaurus,-111.484657,50.750553,sandstone,channel lag,Campanian,0
150.8,145.0,Stegosaurus,-109.300552,40.441387,sandstone,coarse channel fill,Tithonian,0
83.6,72.1,Hypacrosaurus,-113.75,48.633301,mudstone,fluvial,Campanian,0
83.5,70.6,Prosaurolophus,-112.640831,48.910831,mudstone,floodplain,Campanian,0
83.6,72.1,Einiosaurus,-112.650002,48.966599,siltstone,lacustrine,Campanian,0
83.6,72.1,Einiosaurus,-112.650002,48.966599,siltstone,lacustrine,Campanian,0
83.5,70.6,Agujaceratops,-103.196945,29.138056,mudstone,fine channel fill,Campanian,0
83.5,70.6,Avaceratops,-109.410004,46.459999,sandstone,channel,Campanian,0
83.5,70.6,Latirhinus,-101.699997,25.470833,mudstone,terrestrial,Campanian,0
70.6,66.0,Edmontosaurus,-106.427223,47.675835,sandstone,coarse channel fill,Maastrichtian,0
83.6,72.1,Ovaloolithus,120.663673,36.890354,siliciclastic,terrestrial,Campanian,0
70.6,66.0,Edmontosaurus,-102.497498,45.135834,not reported,terrestrial,Maastrichtian,0
83.5,70.6,Hadrosaurus,-74.300003,40.299999,sandstone,estuary,Campanian,0
70.6,66.0,Triceratops,-104.021111,46.466389,claystone,terrestrial,Maastrichtian,0
182.7,174.1,Emausaurus,13.05,54.133331,claystone,marine,Toarcian,0
99.6,93.5,Protohadros,-97.096664,33.014442,mudstone,deltaic,Cenomanian,0
83.5,70.6,Vagaceratops,-110.26667,49.950001,not reported,terrestrial,Campanian,0
83.5,70.6,Vagaceratops,-111.300003,50.733334,not reported,terrestrial,Campanian,0
130.0,122.46,Iguanodon,-1.371491,50.617344,shale,marine,Barremian,0
70.6,66.0,Wannanosaurus,118.337502,29.821943,sandstone,terrestrial,Maastrichtian,0
83.5,70.6,Menefeeceratops,-107.199997,35.700001,mudstone,fluvial,Campanian,0
83.5,70.6,Agujaceratops,-103.550003,29.200001,sandstone,crevasse splay,Campanian,0
109.0,93.5,Tenontosaurus,-108.141403,45.438999,sandstone,channel,Albian,0
125.0,109.0,Tenontosaurus,-108.161667,45.441387,claystone,terrestrial,Aptian,0
113.0,100.5,Ouranosaurus,10.333889,32.266109,sandstone,terrestrial,Albian,0
130.0,122.46,Polacanthus,-1.472222,50.65889,claystone,marine,Barremian,0
83.5,70.6,Orodromeus,-112.966667,48.650002,claystone,floodplain,Campanian,0
130.0,122.46,Psittacosaurus,120.73333,41.799999,claystone,terrestrial,Barremian,0
237.0,228.0,Pisanosaurus,-68.0,-30.0,not reported,terrestrial,Carnian,0
70.6,66.0,Edmontosaurus,-104.427002,43.505402,claystone,floodplain,Maastrichtian,0
83.5,70.6,Gryposaurus,-109.129166,45.823334,shale,marine,Campanian,0
83.5,70.6,Panoplosaurus,-109.129166,45.823334,shale,marine,Campanian,0
83.6,72.1,Maiasaura,-112.287567,47.768101,mudstone,floodplain,Campanian,0
83.5,70.6,Brachylophosaurus,-110.616669,48.950001,mudstone,terrestrial,Campanian,0
155.7,150.8,Cumnoria,-1.313611,51.735279,claystone,marine,Kimmeridgian,0
130.0,125.45,Hypsilophodon,-1.371099,50.617123,marl,terrestrial,Barremian,0
130.0,125.45,Polacanthus,-1.375,50.623333,claystone,marine,Barremian,0
139.8,132.9,Gastonia,-109.567902,38.826099,siltstone,pond,Valanginian,0
139.8,132.9,Gastonia,-109.691666,38.718056,mudstone,crevasse splay,Valanginian,0
125.0,100.5,Eolambia,-110.857689,39.155956,mudstone,terrestrial,Albian,0
125.0,100.5,Animantarx,-110.857689,39.155956,mudstone,terrestrial,Albian,0
70.6,66.0,Thescelosaurus,-104.366669,43.299999,sandstone,fluvial,Maastrichtian,0
70.6,66.0,Edmontosaurus,-104.366669,43.299999,sandstone,fluvial,Maastrichtian,0
70.6,66.0,Triceratops,-104.366669,43.299999,sandstone,fluvial,Maastrichtian,0
122.46,109.0,Tenontosaurus,-97.616669,33.283333,claystone,terrestrial,Aptian,0
122.46,109.0,Tenontosaurus,-97.582741,33.500179,siliciclastic,terrestrial,Aptian,0
70.6,66.0,Thescelosaurus,-104.491669,40.386391,mudstone,floodplain,Maastrichtian,0
70.6,66.0,Triceratops,-104.491669,40.386391,mudstone,floodplain,Maastrichtian,0
99.6,93.5,Stegopelta,-108.023613,42.832222,shale,estuary,Cenomanian,0
70.6,66.0,Telmatosaurus,22.883333,45.566666,claystone,wet floodplain,Maastrichtian,0
70.6,66.0,Struthiosaurus,22.883333,45.566666,claystone,wet floodplain,Maastrichtian,0
99.6,93.5,Caririchnium,-97.092072,32.995209,sandstone,floodplain,Cenomanian,0
201.3,196.5,Anomoepus,21.633333,50.933334,sandstone,lagoonal,Sinemurian,0
89.3,70.6,Claosaurus,-101.102776,38.893333,shale,marine,Campanian,0
155.7,145.0,Stegosaurus,-105.192596,39.675598,sandstone,channel,Tithonian,0
99.6,93.5,Nodosaurus,-105.924446,42.893055,not reported,marginal marine,Cenomanian,0
83.5,70.6,Rhabdodon,6.106141,43.606697,claystone,fluvial,Campanian,0
83.5,66.0,Anchiceratops,-112.783333,51.840279,claystone,terrestrial,Campanian,0
83.5,70.6,Rhabdodon,-2.634513,42.664555,sandstone,coastal,Campanian,0
113.0,100.5,Lurdusaurus,9.333333,16.700001,not reported,terrestrial,Albian,0
201.3,190.8,Lesothosaurus,27.25,-29.85,sandstone,terrestrial,Sinemurian,0
100.5,93.9,Wintonopus,142.806671,-23.076111,sandstone,lacustrine,Cenomanian,0
100.5,93.9,Amblydactylus,142.806671,-23.076111,sandstone,lacustrine,Cenomanian,0
100.5,93.9,Wintonopus,142.806671,-23.076111,sandstone,lacustrine,Cenomanian,0
201.3,190.8,Lesothosaurus,27.75,-31.291668,sandstone,terrestrial,Sinemurian,0
83.5,70.6,Bactrosaurus,112.427498,43.83139,not reported,terrestrial,Campanian,0
145.0,140.2,Echinodon,-1.966667,50.599998,limestone,lacustrine,Berriasian,0
113.0,100.5,Tenontosaurus,-110.680801,31.839199,sandstone,marginal marine,Albian,0
113.0,100.5,Tenontosaurus,-110.492104,31.839199,limestone,marginal marine,Albian,0
125.45,122.46,Iguanodon,-9.383333,38.799999,limestone,marine,Aptian,0
129.4,125.0,Albalophosaurus,136.633331,36.166668,mudstone,mire,Barremian,0
125.0,100.5,Shamosaurus,111.431,43.883999,claystone,fluvial-lacustrine,Albian,0
105.3,99.6,Silvisaurus,-97.454498,39.198002,sandstone,floodplain,Albian,0
83.5,66.0,Pachyrhinosaurus,-112.865601,51.549999,shale,terrestrial,Campanian,0
83.5,66.0,Edmontosaurus,-112.865601,51.549999,shale,terrestrial,Campanian,0
70.6,66.0,Leptoceratops,-108.873199,44.949902,mudstone,terrestrial,Maastrichtian,0
83.5,70.6,Pentaceratops,-108.226997,36.285702,sandstone,channel lag,Campanian,0
83.5,70.6,Pentaceratops,-108.209099,36.271099,sandstone,terrestrial,Campanian,0
83.5,70.6,Bisticeratops,-108.084198,36.3148,shale,terrestrial,Campanian,0
83.5,66.0,Rhabdodon,2.933333,43.349998,not reported,terrestrial,Campanian,0
83.5,70.6,Struthiosaurus,-2.634513,42.664555,sandstone,coastal,Campanian,0
105.3,99.6,Pawpawsaurus,-97.300003,32.866669,claystone,offshore,Albian,0
83.5,70.6,Chasmosaurus,-111.620003,50.630001,not reported,terrestrial,Campanian,0
83.5,70.6,Styracosaurus,-111.800003,50.73,sandstone,terrestrial,Campanian,0
83.5,70.6,Kritosaurus,-108.166946,36.269444,shale,terrestrial,Campanian,0
83.5,70.6,Monoclonius,-108.166946,36.269444,shale,terrestrial,Campanian,0
89.8,83.6,Ovaloolithus,111.5,33.290001,siltstone,terrestrial,Coniacian,0
89.8,83.6,Pinacosaurus,120.622902,36.920399,claystone,terrestrial,Coniacian,0
89.8,83.6,Tanius,120.622902,36.920399,claystone,terrestrial,Coniacian,0
155.7,150.8,Dryosaurus,-1.35,49.533298,marl,shallow subtidal,Kimmeridgian,0
72.1,66.0,Ligabueichnium,-65.75,-18.116667,sandstone,paralic,Maastrichtian,0
157.3,145.0,Camptosaurus,-103.687775,43.430557,sandstone,terrestrial,Tithonian,0
83.5,70.6,Naashoibitosaurus,-108.166946,36.269444,not reported,terrestrial,Campanian,0
157.3,152.1,Anomoepus,-106.063614,41.916111,limestone,terrestrial,Kimmeridgian,0
130.0,125.45,Gideonmantellia,-0.883291,40.647625,mudstone,deltaic,Barremian,0
83.5,70.6,Kritosaurus,-108.513611,36.486111,mudstone,marine,Campanian,0
83.5,70.6,Protoceratops,103.692329,44.156948,sandstone,fluvial,Campanian,0
83.5,70.6,Protoceratops,103.692329,44.156948,sandstone,terrestrial,Campanian,0
83.5,70.6,Pinacosaurus,103.692329,44.156948,sandstone,terrestrial,Campanian,0
83.5,70.6,Protoceratops,103.692329,44.156948,not reported,terrestrial,Campanian,0
83.5,70.6,Pinacosaurus,103.692329,44.156948,not reported,terrestrial,Campanian,0
72.1,66.0,Saurolophus,100.456665,43.601665,not reported,terrestrial,Maastrichtian,0
83.5,70.6,Protoceratops,101.074997,43.5,sandstone,terrestrial,Campanian,0
83.5,70.6,Rhabdodon,-2.634513,42.664555,sandstone,fine channel fill,Campanian,0
83.5,70.6,Struthiosaurus,-2.634513,42.664555,sandstone,fine channel fill,Campanian,0
83.5,70.6,Rhabdodon,-2.634513,42.664555,limestone,shallow subtidal,Campanian,0
